schemaVersion,source.name,source.url,collectedAt,recordType,content.company,content.date,content.is_remote,content.role_family,content.title
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/wppmedia/associate-director-programme-management-london-370836,2026-08-26T14:11:10.112024Z,JOB,Wppmedia,2026-08-26T00:55:18Z,False,,"Associate Director, Programme Management"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/wppmedia/associate-director-planning-london-386980,2026-08-26T14:11:10.112369Z,JOB,Wppmedia,2026-08-26T00:55:18Z,False,,"Associate Director, Planning"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/awin/engineering-manager-mobile-london-manchester-71587,2026-08-26T14:11:10.113429Z,JOB,Awin,2026-08-26T00:55:09Z,False,,Engineering Manager - Mobile (f/m/d)
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/parloa/manager-forward-deployed-engineering-433653,2026-08-26T14:11:10.114619Z,JOB,Parloa,2026-08-26T00:55:08Z,False,,"Manager, Forward Deployed Engineering"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/iwoca/data-scientist-partner-flow-team-london-94267,2026-08-26T14:11:10.115725Z,JOB,Iwoca,2026-08-26T00:40:31Z,False,,Data Scientist - Partner Flow Team
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/checkoutcom/senior-specialist-talent-acquisition-corporate-london-253392,2026-08-26T14:11:10.116883Z,JOB,Checkout Com,2026-08-26T00:40:26Z,False,,"Senior Specialist, Talent Acquisition (Corporate)"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/checkoutcom/senior-manager-head-of-transaction-monitoring-london-309159,2026-08-26T14:11:10.117222Z,JOB,Checkout Com,2026-08-26T00:40:26Z,False,,"Senior Manager, Head of Transaction Monitoring"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/checkoutcom/senior-product-engineer-issuer-partnerships-london-422665,2026-08-26T14:11:10.117560Z,JOB,Checkout Com,2026-08-26T00:40:26Z,False,,"Senior Product Engineer, Issuer Partnerships"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/elevenlabs/creative-partnerships-united-kingdom-452113,2026-08-26T14:11:10.117889Z,JOB,ElevenLabs,2026-08-26T00:40:14Z,False,,Creative Partnerships
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/quantum-motion-technologies-personio/director-of-systems-delivery-london-uk-182062,2026-08-26T14:11:10.119219Z,JOB,Quantum Motion Personio,2026-08-26T00:09:42Z,False,,Director of Systems Delivery
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/wolt/senior-manager-strategy-operations-1p-emea-london-459387,2026-08-26T14:11:10.119540Z,JOB,Wolt,2026-08-25T21:56:03Z,False,,"Senior Manager, Strategy & Operations, 1P EMEA"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/wolt/product-manager-search-london-56236,2026-08-26T14:11:10.119859Z,JOB,Wolt,2026-08-25T21:56:03Z,False,,"Product Manager, Search"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/anthropic/transaction-principal-eu-london-201369,2026-08-26T14:11:10.120202Z,JOB,Anthropic,2026-08-25T21:56:02Z,False,,"Transaction Principal, EU"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/anthropic/software-engineer-business-technology-london-434615,2026-08-26T14:11:10.120502Z,JOB,Anthropic,2026-08-25T21:56:01Z,False,,"Software Engineer, Business Technology"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/anthropic/senior-partner-sales-manager-systems-integrators-emea-north-london-3864,2026-08-26T14:11:10.120849Z,JOB,Anthropic,2026-08-25T21:56:01Z,False,,"Senior Partner Sales Manager, Systems Integrators - EMEA & North"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/anthropic/regional-manager-emea-data-center-capacity-delivery-london-451996,2026-08-26T14:11:10.121179Z,JOB,Anthropic,2026-08-25T21:56:01Z,False,,"Regional Manager EMEA, Data Center Capacity Delivery"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/anthropic/enterprise-account-executive-manufacturing-london-49122,2026-08-26T14:11:10.121519Z,JOB,Anthropic,2026-08-25T21:56:00Z,False,,"Enterprise Account Executive, Manufacturing"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/anthropic/enterprise-account-executive-energy-utilities-london-256048,2026-08-26T14:11:10.121847Z,JOB,Anthropic,2026-08-25T21:56:00Z,False,,Enterprise Account Executive - Energy & Utilities
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/anthropic/data-center-energy-lead-emea-london-185629,2026-08-26T14:11:10.122169Z,JOB,Anthropic,2026-08-25T21:56:00Z,False,,"Data Center Energy Lead, EMEA"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/celonis/enterprise-architect-director-london-140709,2026-08-26T14:11:10.122469Z,JOB,Celonis,2026-08-25T21:55:46Z,False,,Enterprise Architect Director
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/grafanalabs/staff-product-manager-opentelemetry-uk-remote-22840,2026-08-26T14:11:10.123534Z,JOB,Grafanalabs,2026-08-25T21:55:25Z,False,,"Staff Product Manager, OpenTelemetry | UK | Remote"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/bitwarden/principal-implementation-engineer-customer-support-emea-united-kingdom-138228,2026-08-26T14:11:10.124577Z,JOB,Bitwarden,2026-08-25T21:45:28Z,False,,"Principal Implementation Engineer, Customer Support (EMEA)"
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/phmg-careers/data-engineer-manchester-448499,2026-08-26T14:11:10.125764Z,JOB,Phmg Careers,2026-08-25T21:45:27Z,False,,Data Engineer
1.0,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/ping-identity/product-manager-identity-for-ai-london-92350,2026-08-26T14:11:10.126979Z,JOB,Ping Identity,2026-08-25T21:45:26Z,False,,Product Manager - Identity for AI
