schemaVersion,source.name,source.url,collectedAt,recordType,content.entityName,content.data.employeeCount
1.0,Y Combinator,https://www.ycombinator.com/companies/cosmic-robotics,2026-08-26T14:11:08.707262Z,STARTUP,Cosmic Robotics,8
1.0,Y Combinator,https://www.ycombinator.com/companies/markov,2026-08-26T14:11:08.708135Z,STARTUP,Markov,2
1.0,Y Combinator,https://www.ycombinator.com/companies/familiar,2026-08-26T14:11:08.708975Z,STARTUP,Familiar,7
1.0,Y Combinator,https://www.ycombinator.com/companies/lumeria,2026-08-26T14:11:08.709906Z,STARTUP,Lumeria,3
1.0,Y Combinator,https://www.ycombinator.com/companies/marengo,2026-08-26T14:11:08.710804Z,STARTUP,Marengo,5
1.0,Y Combinator,https://www.ycombinator.com/companies/ronanrx-inc,2026-08-26T14:11:08.711690Z,STARTUP,Ronanrx,5
1.0,Y Combinator,https://www.ycombinator.com/companies/waybill,2026-08-26T14:11:08.712574Z,STARTUP,Waybill,5
1.0,Y Combinator,https://www.ycombinator.com/companies/executor,2026-08-26T14:11:08.713475Z,STARTUP,Executor,1
1.0,Y Combinator,https://www.ycombinator.com/companies/last-accounting-company,2026-08-26T14:11:08.714397Z,STARTUP,Last Accounting,4
1.0,Y Combinator,https://www.ycombinator.com/companies/pacific,2026-08-26T14:11:08.715283Z,STARTUP,Pacific,3
1.0,Y Combinator,https://www.ycombinator.com/companies/luca-iq,2026-08-26T14:11:08.716237Z,STARTUP,Luca Iq,5
1.0,Y Combinator,https://www.ycombinator.com/companies/financial-datasets,2026-08-26T14:11:08.717206Z,STARTUP,Financial Datasets,1
1.0,Y Combinator,https://www.ycombinator.com/companies/trynearby,2026-08-26T14:11:08.718177Z,STARTUP,Trynearby,5
1.0,Y Combinator,https://www.ycombinator.com/companies/computable,2026-08-26T14:11:08.719116Z,STARTUP,Computable,2
1.0,Y Combinator,https://www.ycombinator.com/companies/denta,2026-08-26T14:11:08.719988Z,STARTUP,Denta,1
1.0,Y Combinator,https://www.ycombinator.com/companies/isengard-industries-inc,2026-08-26T14:11:08.720933Z,STARTUP,Isengard Industries,30
1.0,Y Combinator,https://www.ycombinator.com/companies/ekho-labs,2026-08-26T14:11:08.721934Z,STARTUP,Ekho,0
1.0,Y Combinator,https://www.ycombinator.com/companies/moving-atoms,2026-08-26T14:11:08.722970Z,STARTUP,Moving Atoms,2
1.0,Y Combinator,https://www.ycombinator.com/companies/vestris,2026-08-26T14:11:08.723903Z,STARTUP,Vestris,2
1.0,Y Combinator,https://www.ycombinator.com/companies/ultrasonium,2026-08-26T14:11:08.724769Z,STARTUP,Ultrasonium,5
1.0,Y Combinator,https://www.ycombinator.com/companies/arbital,2026-08-26T14:11:08.725658Z,STARTUP,Arbital,3
1.0,Y Combinator,https://www.ycombinator.com/companies/pokerclubhub,2026-08-26T14:11:08.726590Z,STARTUP,Pokerclubhub,0
1.0,Y Combinator,https://www.ycombinator.com/companies/neuron-industries,2026-08-26T14:11:08.727590Z,STARTUP,Neuron Industries,2
1.0,Y Combinator,https://www.ycombinator.com/companies/neuromorphic,2026-08-26T14:11:08.728679Z,STARTUP,Neuromorphic,3
1.0,Y Combinator,https://www.ycombinator.com/companies/lato,2026-08-26T14:11:08.729588Z,STARTUP,Lato,2
1.0,Y Combinator,https://www.ycombinator.com/companies/risklytics,2026-08-26T14:11:08.730502Z,STARTUP,Risklytics,2
1.0,Y Combinator,https://www.ycombinator.com/companies/daqstra,2026-08-26T14:11:08.731441Z,STARTUP,Daqstra,3
1.0,Y Combinator,https://www.ycombinator.com/companies/tenor,2026-08-26T14:11:08.732319Z,STARTUP,Tenor,3
1.0,Y Combinator,https://www.ycombinator.com/companies/qlo,2026-08-26T14:11:08.733243Z,STARTUP,Qlo,2
1.0,Y Combinator,https://www.ycombinator.com/companies/fabraix,2026-08-26T14:11:08.734155Z,STARTUP,Fabraix,2
1.0,Y Combinator,https://www.ycombinator.com/companies/omanta,2026-08-26T14:11:08.735190Z,STARTUP,Omanta,4
1.0,Y Combinator,https://www.ycombinator.com/companies/rational,2026-08-26T14:11:08.736196Z,STARTUP,Rational,2
1.0,Y Combinator,https://www.ycombinator.com/companies/aktoria-robotics,2026-08-26T14:11:08.737164Z,STARTUP,Aktoria Robotics,6
1.0,Y Combinator,https://www.ycombinator.com/companies/vendo,2026-08-26T14:11:08.738047Z,STARTUP,Vendo,2
1.0,Y Combinator,https://www.ycombinator.com/companies/akon-labs,2026-08-26T14:11:08.738945Z,STARTUP,Akon,2
1.0,Y Combinator,https://www.ycombinator.com/companies/click,2026-08-26T14:11:08.739914Z,STARTUP,Click,1
1.0,Y Combinator,https://www.ycombinator.com/companies/whitespace,2026-08-26T14:11:08.740931Z,STARTUP,Whitespace,2
1.0,Y Combinator,https://www.ycombinator.com/companies/blue-frog-gaming,2026-08-26T14:11:08.742104Z,STARTUP,Blue Frog Gaming,11
1.0,Y Combinator,https://www.ycombinator.com/companies/almanac,2026-08-26T14:11:08.743007Z,STARTUP,Almanac,0
1.0,Y Combinator,https://www.ycombinator.com/companies/tarebio,2026-08-26T14:11:08.743946Z,STARTUP,Tarebio,1
1.0,Y Combinator,https://www.ycombinator.com/companies/greypoint-industries,2026-08-26T14:11:08.744985Z,STARTUP,Greypoint Industries,4
1.0,Y Combinator,https://www.ycombinator.com/companies/hilstart,2026-08-26T14:11:08.745885Z,STARTUP,Hilstart,0
1.0,Y Combinator,https://www.ycombinator.com/companies/aerogen-systems,2026-08-26T14:11:08.746738Z,STARTUP,Aerogen,4
1.0,Y Combinator,https://www.ycombinator.com/companies/graphify-labs,2026-08-26T14:11:08.747622Z,STARTUP,Graphify,2
1.0,Y Combinator,https://www.ycombinator.com/companies/ooak-data,2026-08-26T14:11:08.748606Z,STARTUP,Ooak Data,5
1.0,Y Combinator,https://www.ycombinator.com/companies/noril1,2026-08-26T14:11:08.749546Z,STARTUP,Nori,5
1.0,Y Combinator,https://www.ycombinator.com/companies/6thsense,2026-08-26T14:11:08.750533Z,STARTUP,6Thsense,4
1.0,Y Combinator,https://www.ycombinator.com/companies/bloomy,2026-08-26T14:11:08.751441Z,STARTUP,Bloomy,1
1.0,Y Combinator,https://www.ycombinator.com/companies/machine0,2026-08-26T14:11:08.752300Z,STARTUP,Machine0,1
1.0,Y Combinator,https://www.ycombinator.com/companies/talentpluto,2026-08-26T14:11:08.753298Z,STARTUP,Pluto,5
1.0,Y Combinator,https://www.ycombinator.com/companies/flowmanual,2026-08-26T14:11:08.754209Z,STARTUP,Flowmanual,2
1.0,Y Combinator,https://www.ycombinator.com/companies/stratum-industries,2026-08-26T14:11:08.755261Z,STARTUP,Stratum Industries,2
1.0,Y Combinator,https://www.ycombinator.com/companies/peer,2026-08-26T14:11:08.756292Z,STARTUP,Peer,2
1.0,Y Combinator,https://www.ycombinator.com/companies/molagri,2026-08-26T14:11:08.757408Z,STARTUP,Molagri,4
1.0,Y Combinator,https://www.ycombinator.com/companies/cerenovus,2026-08-26T14:11:08.758478Z,STARTUP,Cerenovus,5
1.0,Y Combinator,https://www.ycombinator.com/companies/agency-tool-company,2026-08-26T14:11:08.759543Z,STARTUP,Agency Tool,3
1.0,Y Combinator,https://www.ycombinator.com/companies/standard-machines,2026-08-26T14:11:08.762809Z,STARTUP,Standard Machines,
1.0,Y Combinator,https://www.ycombinator.com/companies/edotenv,2026-08-26T14:11:08.763787Z,STARTUP,Edotenv,2
1.0,Y Combinator,https://www.ycombinator.com/companies/traceforce,2026-08-26T14:11:08.764685Z,STARTUP,Traceforce,2
1.0,Y Combinator,https://www.ycombinator.com/companies/veltha,2026-08-26T14:11:08.765539Z,STARTUP,Veltha,2
1.0,Y Combinator,https://www.ycombinator.com/companies/tarifflo-inc,2026-08-26T14:11:08.766532Z,STARTUP,Tarifflo,5
1.0,Y Combinator,https://www.ycombinator.com/companies/callbook-ai,2026-08-26T14:11:08.767520Z,STARTUP,Callbook,7
1.0,Y Combinator,https://www.ycombinator.com/companies/definite,2026-08-26T14:11:08.768458Z,STARTUP,Definite,3
1.0,Y Combinator,https://www.ycombinator.com/companies/alkera-ai,2026-08-26T14:11:08.769437Z,STARTUP,Alkera,3
1.0,Y Combinator,https://www.ycombinator.com/companies/rasyn,2026-08-26T14:11:08.770368Z,STARTUP,Rasyn,0
1.0,Y Combinator,https://www.ycombinator.com/companies/manifold-2,2026-08-26T14:11:08.771349Z,STARTUP,Manifold,2
1.0,Y Combinator,https://www.ycombinator.com/companies/screenpipe,2026-08-26T14:11:08.772287Z,STARTUP,Screenpipe,2
1.0,Y Combinator,https://www.ycombinator.com/companies/spectre-intelligence,2026-08-26T14:11:08.773286Z,STARTUP,Spectre Intelligence,2
1.0,Y Combinator,https://www.ycombinator.com/companies/zaplar,2026-08-26T14:11:08.774222Z,STARTUP,Zaplar,8
1.0,Y Combinator,https://www.ycombinator.com/companies/prodigy-research,2026-08-26T14:11:08.775264Z,STARTUP,Prodigy Research,2
1.0,Y Combinator,https://www.ycombinator.com/companies/touchmark,2026-08-26T14:11:08.776295Z,STARTUP,Touchmark,2
1.0,Y Combinator,https://www.ycombinator.com/companies/exosat,2026-08-26T14:11:08.777208Z,STARTUP,Exosat,1
1.0,Y Combinator,https://www.ycombinator.com/companies/codag,2026-08-26T14:11:08.778082Z,STARTUP,Codag,1
1.0,Y Combinator,https://www.ycombinator.com/companies/contextdev,2026-08-26T14:11:08.779040Z,STARTUP,Context Dev,1
1.0,Y Combinator,https://www.ycombinator.com/companies/glen,2026-08-26T14:11:08.780013Z,STARTUP,Glen,1
