schemaVersion,source.name,source.url,collectedAt,recordType,content.startupName,content.pricingModel
1.0,Y Combinator,https://www.ycombinator.com/companies/doordash,2026-08-26T14:11:08.379727Z,PRODUCT,Doordash,
1.0,Y Combinator,https://www.ycombinator.com/companies/airbnb,2026-08-26T14:11:08.380615Z,PRODUCT,Airbnb,
1.0,Y Combinator,https://www.ycombinator.com/companies/coinbase,2026-08-26T14:11:08.381521Z,PRODUCT,Coinbase,
1.0,Y Combinator,https://www.ycombinator.com/companies/groww,2026-08-26T14:11:08.382457Z,PRODUCT,Groww,
1.0,Y Combinator,https://www.ycombinator.com/companies/instacart,2026-08-26T14:11:08.384437Z,PRODUCT,Instacart,
1.0,Y Combinator,https://www.ycombinator.com/companies/meesho,2026-08-26T14:11:08.385426Z,PRODUCT,Meesho,
1.0,Y Combinator,https://www.ycombinator.com/companies/oklo,2026-08-26T14:11:08.386468Z,PRODUCT,Oklo,
1.0,Y Combinator,https://www.ycombinator.com/companies/gitlab,2026-08-26T14:11:08.387307Z,PRODUCT,Gitlab,
1.0,Y Combinator,https://www.ycombinator.com/companies/rigetti-computing,2026-08-26T14:11:08.388060Z,PRODUCT,Rigetti Computing,
1.0,Y Combinator,https://www.ycombinator.com/companies/dropbox,2026-08-26T14:11:08.388787Z,PRODUCT,Dropbox,
1.0,Y Combinator,https://www.ycombinator.com/companies/billiontoone,2026-08-26T14:11:08.389521Z,PRODUCT,Billiontoone,
1.0,Y Combinator,https://www.ycombinator.com/companies/equipmentshare,2026-08-26T14:11:08.390634Z,PRODUCT,Equipmentshare,
1.0,Y Combinator,https://www.ycombinator.com/companies/matterport,2026-08-26T14:11:08.391612Z,PRODUCT,Matterport,
1.0,Y Combinator,https://www.ycombinator.com/companies/amplitude,2026-08-26T14:11:08.392575Z,PRODUCT,Amplitude,
1.0,Y Combinator,https://www.ycombinator.com/companies/pagerduty,2026-08-26T14:11:08.393260Z,PRODUCT,Pagerduty,
1.0,Y Combinator,https://www.ycombinator.com/companies/weave,2026-08-26T14:11:08.393938Z,PRODUCT,Weave,
1.0,Y Combinator,https://www.ycombinator.com/companies/ginkgo-bioworks,2026-08-26T14:11:08.394646Z,PRODUCT,Ginkgo Bioworks,
1.0,Y Combinator,https://www.ycombinator.com/companies/pardes-bio,2026-08-26T14:11:08.395420Z,PRODUCT,Pardes Biosciences,
1.0,Y Combinator,https://www.ycombinator.com/companies/momentus,2026-08-26T14:11:08.396426Z,PRODUCT,Momentus,
1.0,Y Combinator,https://www.ycombinator.com/companies/embark-trucks,2026-08-26T14:11:08.397154Z,PRODUCT,Embark Trucks,
1.0,Y Combinator,https://www.ycombinator.com/companies/lucira-health,2026-08-26T14:11:08.397970Z,PRODUCT,Lucira Health,
1.0,Y Combinator,https://www.ycombinator.com/companies/segment,2026-08-26T14:11:08.398672Z,PRODUCT,Segment,
1.0,Y Combinator,https://www.ycombinator.com/companies/algolia,2026-08-26T14:11:08.399560Z,PRODUCT,Algolia,
1.0,Y Combinator,https://www.ycombinator.com/companies/truebill,2026-08-26T14:11:08.400271Z,PRODUCT,Truebill,
1.0,Y Combinator,https://www.ycombinator.com/companies/twitch,2026-08-26T14:11:08.400975Z,PRODUCT,Twitch,
1.0,Y Combinator,https://www.ycombinator.com/companies/plangrid,2026-08-26T14:11:08.401999Z,PRODUCT,Plangrid,
1.0,Y Combinator,https://www.ycombinator.com/companies/bellabeat,2026-08-26T14:11:08.403272Z,PRODUCT,Bellabeat,
1.0,Y Combinator,https://www.ycombinator.com/companies/cruise,2026-08-26T14:11:08.403984Z,PRODUCT,Cruise,
1.0,Y Combinator,https://www.ycombinator.com/companies/benchling,2026-08-26T14:11:08.404768Z,PRODUCT,Benchling,
1.0,Y Combinator,https://www.ycombinator.com/companies/casetext,2026-08-26T14:11:08.405448Z,PRODUCT,Casetext,
1.0,Y Combinator,https://www.ycombinator.com/companies/bird,2026-08-26T14:11:08.406145Z,PRODUCT,Bird,
1.0,Y Combinator,https://www.ycombinator.com/companies/brex,2026-08-26T14:11:08.406826Z,PRODUCT,Brex,
1.0,Y Combinator,https://www.ycombinator.com/companies/the-athletic,2026-08-26T14:11:08.407906Z,PRODUCT,The Athletic,
1.0,Y Combinator,https://www.ycombinator.com/companies/codecademy,2026-08-26T14:11:08.409681Z,PRODUCT,Codecademy,
1.0,Y Combinator,https://www.ycombinator.com/companies/checkr,2026-08-26T14:11:08.410424Z,PRODUCT,Checkr,
1.0,Y Combinator,https://www.ycombinator.com/companies/lever,2026-08-26T14:11:08.411053Z,PRODUCT,Lever,
1.0,Y Combinator,https://www.ycombinator.com/companies/clipboard,2026-08-26T14:11:08.411778Z,PRODUCT,Clipboard,
1.0,Y Combinator,https://www.ycombinator.com/companies/heap,2026-08-26T14:11:08.412485Z,PRODUCT,Heap,
1.0,Y Combinator,https://www.ycombinator.com/companies/sendwave,2026-08-26T14:11:08.413141Z,PRODUCT,Sendwave,
1.0,Y Combinator,https://www.ycombinator.com/companies/deel,2026-08-26T14:11:08.413818Z,PRODUCT,Deel,
1.0,Y Combinator,https://www.ycombinator.com/companies/clever,2026-08-26T14:11:08.414624Z,PRODUCT,Lever,
1.0,Y Combinator,https://www.ycombinator.com/companies/caper,2026-08-26T14:11:08.415792Z,PRODUCT,Caper,
1.0,Y Combinator,https://www.ycombinator.com/companies/reddit,2026-08-26T14:11:08.416809Z,PRODUCT,Reddit,
1.0,Y Combinator,https://www.ycombinator.com/companies/fivestars,2026-08-26T14:11:08.417485Z,PRODUCT,Fivestars,
1.0,Y Combinator,https://www.ycombinator.com/companies/machine-zone,2026-08-26T14:11:08.418206Z,PRODUCT,Machine Zone,
1.0,Y Combinator,https://www.ycombinator.com/companies/faire,2026-08-26T14:11:08.418890Z,PRODUCT,Faire,
1.0,Y Combinator,https://www.ycombinator.com/companies/fivetran,2026-08-26T14:11:08.420020Z,PRODUCT,Fivetran,
1.0,Y Combinator,https://www.ycombinator.com/companies/optimizely,2026-08-26T14:11:08.420897Z,PRODUCT,Optimizely,
1.0,Y Combinator,https://www.ycombinator.com/companies/flexport,2026-08-26T14:11:08.421668Z,PRODUCT,Flexport,
1.0,Y Combinator,https://www.ycombinator.com/companies/wepay,2026-08-26T14:11:08.422441Z,PRODUCT,Wepay,
1.0,Y Combinator,https://www.ycombinator.com/companies/weebly,2026-08-26T14:11:08.423244Z,PRODUCT,Weebly,
1.0,Y Combinator,https://www.ycombinator.com/companies/flock-safety,2026-08-26T14:11:08.423977Z,PRODUCT,Flock Safety,
1.0,Y Combinator,https://www.ycombinator.com/companies/sqreen,2026-08-26T14:11:08.424635Z,PRODUCT,Sqreen,
1.0,Y Combinator,https://www.ycombinator.com/companies/nurx,2026-08-26T14:11:08.425495Z,PRODUCT,Nurx,
